FGFR1	HSPG2
PLXNB2	PLXND1
CUL5	KLHL15
SLC30A10	SLC30A2
BIRC3	MAP3K14
CUL5	KLHL18
CCAR1	SYF2
FCGR3A	HCK
NUP35	NUP62
IGLV3-25	V3-4
COL24A1	P3H1
RPL37A	RPN1
RPL37A	RPN2
RYR1	TTN
PRKACB	PXN
IGLV3-25	V3-2
FEM1A	PTGER4
IGLV3-25	V3-3
CUL5	KLHL24
RPL37A	RPL4
RPL37A	RPL5
RPL37A	RPL6
RPL37A	RPL7
RPL37A	RPL8
RPL37A	RPL9
PSMF1	UBA52
ATP6V0A2	ATP6V0D1
NCBP2	RBFOX2
ATP6V0A2	ATP6V0D2
CAND1	FBXW7
APLP1	PCDH18
C1QBP	H3C1
CAND1	FBXW8
NUP35	NUP42
CAND1	FBXW9
NUP35	NUP43
KHSRP	SUZ12
NUP205	PIAS3
CAPZA3	GOLGB1
HCK	IGLV1-40
MYH10	MYL10
GSN	STM7
PLXNB2	PLXNB3
CKS2	FZR1
HCK	IGLV1-44
NR1I3	PPP4R1
CSNK1E	PCM1
ATP6V0A2	ATP6V0A4
CAND1	FBXW2
MYSM1	SMARCA2
CAPZB	KIF26A
CAND1	FBXW4
CAND1	FBXW5
CUL5	KLHL42
NUP35	NUP54
TBC1D22B	TRIM23
PAX8	RXRA
NUP35	NUP58
PAX8	RXRB
PSMD14	TP53
PLXNB2	PLXNC1
PRPF3	XAB2
CDC40	PUF60
HCK	IGLV1-51
KIF24	MAPRE1
CAPZA3	GOLGA2
PPIH	SRRM1
NUP35	NUP50
PPIH	SRRM2
HCK	IGLV1-47
ITGB3	L1CAM
NR1H3	UBE2I
ASH2L	CEBPA
ASH2L	CEBPB
PAX8	RXRG
CNPY4	GRP94C
ELL3	RPRD2
GRAP2	V1-20
DCTN3	RILP
ABCE1	RPS25
CAPN1	TLN1
ABCE1	RPS17
CAPN1	TLN2
NCBP2	ZC3H8
INTS10	SSU72
REPS2	UBA52
EEF2K	RPS6KB1
GRAP2	V1-11
NID2	TNFAIP6
PSMB8	PSMD10
GRAP2	V1-13
ITGB1	RET
PSMB8	PSMD11
PSMB8	PSMD12
PSMB8	PSMD13
GRAP2	V1-16
PSMB8	PSMD14
HIF1A	VEGFA
HIF1A	VEGFB
MAGI2	PLXNB3
MDM2	TRIM23
HIF1A	VEGFC
CENPS	SKA1
HIF1A	VEGFD
CENPS	SKA2
CENPP	CLIP1
MDM2	TRIM27
PSMD14	TP73
MDM2	TRIM28
NONO	RPA1
NONO	RPA2
NUP35	NUP37
EEF2K	RPS6KA1
ABL1	TRIM28
LDB1	LMX1B
THRAP3	TRAF6
PSME2	TNF
FFAR2	OXT
JAM3	PARD3B
ACTN1	COL14A1
IGLC3	JCHAIN
LSM4	LSM5
LSM4	LSM6
POLR2D	RBM22
LSM4	LSM7
LSM4	LSM8
MDM2	TRIM13
POLR2D	RBM17
MCM8	RTEL1-TNFRSF6B
PHB2	UQCRC1
KLRK1	LCP2
STAT1	SUMO1
ABL1	TRIM39
GNG2	SCTR
BCL2	ING4
CNTRL	PCM1
WDR33	YBX1
ABCE1	RPS3A
FGF21	TEK
CBX5	XRCC6
PCM1	USP9X
AURKAIP1	MRPL1
AURKAIP1	MRPL2
AURKAIP1	MRPL3
CDT1	TOP1
FGF10	IRAK1
FGF10	IRAK4
MAPK3	ZFP36L1
HUWE1	UBR2
ELOB	ROBO3
GOLGA8DP	USO1
BAZ1B	TOP2B
RXRG	UBC
AKAP5	GRIA1
AKAP5	GRIA3
ELOA2	SSRP1
AKAP5	GRIA4
AKT3	BCL2
AXIN2	TCF7
CNTRL	PCNT
PEX14	RPS27A
BECN1	SMC1A
PSMD1	RAD23A
PSMD1	RAD23B
PSMB4	TNFRSF1B
AJUBA	EGLN2
AJUBA	EGLN3
RPS28	SRPRA
RPS28	SRPRB
ACTR3C	WASL
RNF40	UBE2I
CHST5	PRELP
COL1A2	STAT1
CDK9	INTS13
COL1A2	STAT3
CDK9	INTS14
RNF40	UBE2A
BMP7	TGFBR1
CSTF2T	PRPF19
RNF40	UBE2B
BMP7	TGFBR2
BMP7	TGFBR3
GLI1	HDAC2
STX19	TSNARE1
STAT3	SUB1
COPA	KIF11
IMMT	OPA1
IL11	IL21R
GRB2	SP1
GLI1	HDAC1
COG3	GORASP1
CRCP	POLR2E
AP2A2	FNBP1
CRCP	POLR2F
CEP57	NEK2
GTF2F1	PABPN1
CRCP	POLR2H
CRCP	POLR2K
FANCM	SLX1A
CRCP	POLR2L
IGLV	VAV2
IGLV	VAV3
CSTF2T	PRPF31
IL18	MAPK1
IL18	MAPK3
CSNK2A1	PRPF38A
IL18	MAPK8
IL18	MAPK9
ERC1	TRAF6
IGLV	VAV1
CRCP	POLR3A
RAB3D	RIMS2
CRCP	POLR3B
ADAM17	TGFA
CRCP	POLR3C
CRCP	POLR3D
CRCP	POLR3E
CRCP	POLR3F
CRCP	POLR3G
GATA2	THBS1
CRCP	POLR3H
CHMP2B	UBA52
EBNA1BP2	NOP2
CRCP	POLR3K
NBN	SPIDR
GRB2	SRC
ITK	MS4A2
CASP8	VIM
COPS2	GTF2H1
COPS2	GTF2H2
COPS2	GTF2H3
MCL1	MOAP1
COPS2	GTF2H4
COPS2	GTF2H5
LSM2	TXNL4A
RAB3D	RIMS1
EP300	IFNA21
ACTR3	CDC42
COQ10B	NDUFA10
COQ10B	NDUFA11
SUFU	TTC21B
RAB4A	STX4
HDAC5	ZBTB16
ACTR1A	BICD1
CD79B	IGHV4-34
COQ10B	NDUFA12
COQ10B	NDUFA13
CD79B	IGHV4-39
EP300	IFNA10
AKT2	STAT6
CAPZA1	SHANK1
CDC42	SEC13
CRCP	POLR1C
EP300	IFNA14
CRCP	POLR1D
EP300	IFNA16
EP300	IFNA17
KDM4A	RPS27A
AURKB	CDK1
SNRNP48	YBX1
EHHADH	STAT3
NIPBL	ZNF608
NIPBL	ZNF609
IRF8	ZEB1
IRF8	ZEB2
LIN7A	PPFIA1
LIN7A	PPFIA2
CX3CL1	NFKB1
LIN7A	PPFIA3
CDK6	DEDD2
LIN7A	PPFIA4
HDAC5	ZBTB21
NUP35	NUP85
NUP35	NUP88
PIN1	PPIA
HLA-DRB5	MHC2TA
OR52K2	PRKACA
OR52K2	PRKACB
OR52K2	PRKACG
APEX1	MUTYH
FOXA2	SALL1
CDK9	INTS10
CDK9	INTS11
CDK9	INTS12
IDH3A	SLC25A3
CENPQ	WAPL
CD79B	IGHV4-59
IL3	INPPL1
BTRC	SKP1
BTRC	SKP2
NUP35	NUP98
POLR2D	RBM8A
DVL1	KIF3A
NUP35	NUP93
BPTF	EBF1
BPTF	EBF2
BPTF	EBF3
DHX15	SYF2
BPTF	EBF4
EBNA1BP2	NOL9
CREB1	PCDHB11
