E5RGN7	Q05D78
E9PKD5	P07900
B5BU81	O75558
E7EQY4	Q16576
B2R6N0	B4DR91
E7EPA1	Q6ZTP6
F5H4K4	Q5JR07
F5H4K4	Q5JR08
H0YMI6	K7ER45
A0A1W2PQE7	Q9UJZ2
A0A1W2PQE7	Q9UJZ6
A0A1W2PQE7	Q9UJZ7
A0A1W2PQE7	Q9UJZ8
A0A384ME03	Q9UPY8
B3KMU4	M0QZR8
B7ZAP6	E9PK25
A8MUD9	Q5T3R7
O43379	P23258
H0YCR5	Q9BZG8
A0A1W2PQE7	Q9UK20
A0A1W2PQE7	Q9UJU1
B2R6N0	B4DPM7
H7BZD2	Q00536
B3KXE7	H0YAP7
O14974	Q4LE39
B3KMU4	M0QXE6
H0YMI6	K7ENR6
P80098	Q02556
Q5TEE2	Q7Z3K6
B4DDF5	Q96F82
B0QZ35	Q7L590
B4DDF5	Q96FC9
P43629	Q6H3X3
K7EM24	Q9Y487
B2R6N0	B4DV84
B4E092	P33991
B4E092	P33992
B4E092	P33993
Q14566	Q9NXL9-4
A8K192	Q9P1K2
B4DEC2	B4DHJ3
H0YCZ6	Q99990
B4DEC2	B4DH29
B4DND6	Q59GH5
P26038	P26885
B4DSK9	F1T0J8
A0A494C100	Q8N257
A0A0J9YYK1	I3L2N2
B4DND6	Q59GS3
Q15173	Q9BZS1
B4DND6	Q59G89
A0A0J9YYK1	I3L2W9
Q6V0I7	Q9H8S9
Q6V0I7	Q9H987
H7C1W2	K0A7K7
B3KMU4	M0QXQ2
B7ZAP6	E9PDI2
B4DND6	Q59FJ0
P55851	Q9NZF1
B2R6N0	B4DJ66
H0YCR5	Q9BQC3
B4DDF5	Q96B14
B4DND6	Q59EG8
B4DND6	Q59EL2
B4E3U3	Q49AI3
A0A0J9YYK1	I3L0M7
B7ZAP6	E9PS23
A0A494C100	Q8N7F5
B2R6N0	B4DHR8
Q2VP98	Q9BQL6
A0A0J9YYK1	I3L0Z8
B4DDF5	Q96A08
P11802	P15172
B4DUY3	Q5BKZ2
P10415	Q8NFF3
P40818	P61981
B7ZLB1	Q14DD4
B7ZAP6	E9PP50
B3KQ51	J3QQV0
P23246	Q07955
I6L9I5	P84243
O60573	Q6Y7W6
B7ZAP6	E9PQB7
I3L3S0	J3KP27
Q6IAR4	Q96CP1
A0A384ME03	I3L2W9
B2R6N0	B4DND6
K7EIT4	P61981
B4DSK5	B7ZBM4
B4DSK5	B7ZBM5
B4DSK5	B7ZBM8
A0A2R8Y5N2	E9PG15
B2R6N0	B4DN01
A0A2R8YGX7	H3BMQ0
B2R6N0	B4DMP7
B2R6N0	B4DMT5
H7C378	Q8N9M2
A0A384ME03	I3L2N2
Q9Y265	U3KQK0
P46100	P55795
Q6IEH8	Q8WVM7
B2R6N0	B4DM22
A0A384ME03	I3L0M7
Q16676	Q9UJU5
B4DHI1	E9PHH8
A0A384ME03	I3L0Z8
A8MU27	O00482-3
H0YEG0	Q59EK3
Q05BJ5	Q96SN7
B7ZA86	Q8N1C8
B4DEC2	B4DR40
P23246	Q07666
E7EW35	P60891
P04062	Q14108
A0A2R8Y5N2	E9PD24
A0A1V1FK96	Q96QW8
P09429	P17028
P09429	P17096
Q49A90	Q6PK50
Q6PI48	Q7Z3U5
A0A2R8Y793	M0R3D3
P63162	Q96DF8
P31994	P42224
P31994	P42226
P31994	P42229
A0A2R8YDZ2	I3L3T1
A0A1W2PRC2	D6RC71
P12004	Q00987
A0A1W2PRR1	E9PRC8
Q15468	Q9HC77
A0A1W2PRC2	D6RF48
A8K4G7	Q9NP79
O60706	Q14500
P11309	P67775
Q59EM3	Q9UM11
A8K8V0	Q9NYW8
A0A1W2PRR1	E9PQ35
Q6PI48	Q7Z355
P18085	P60484
A0A3B3IRR8	Q8NHX6
B3KQ51	J3QLA6
B3KQ51	J3QL26
I6L9I5	P84098
B4DMT4	Q13561
B4DSK5	B7ZLB1
P26367	P63165
P26367	P63167
A0A0C4DGE4	Q8TBM3
P55060	Q7Z726
P23396	Q71UM5
A0A1W2PRR1	E9PN50
A0A1W2PRR1	E9PMD8
B7ZLB1	Q15334
A8K6A2	O75530
A0A1W2PRR1	E9PM09
A0A2R8Y793	M0QXZ8
A0A1W2PRR1	E9PM69
O60674	Q494W8
A0A1W2PRR1	E9PLG2
O75529	P04637
B3KSH1	P62333
Q13277	Q8WVM8
A0A494C100	Q8NHX6
P63162	Q96LT9
Q13277	Q99747
A0A3B3IRR8	Q8NFT6
P24941	Q96KB5
A0A494C100	Q8NFT6
P24941	Q96JH8
O00482	P35222
B2R6N0	B4DXI8
Q92619	Q9P107
D6RAC5	G5E9Y7
A0A384ME03	Q9UG07
O43524	Q9Y5Z7
Q8WZ73	Q9H3M9
O75629	Q08999
E7EM64	Q9Y6E3
Q59GS3	Q6MZI6
E7EN77	Q6IPS5
K4JQN1	Q07817-3
Q05BJ5	Q96D31
B7Z2Z8	E7ERF2
G3V5R2	Q59FN1
O95166	P63104
B0AZT9	Q6QBN5
B0AZT9	Q6QBN8
B3KSH1	P62191
B3KSH1	P62195
A0A2R8Y793	M0R101
B3KMU4	M0R2B7
B7Z2Z8	E7EQR6
A0A2R8YDE6	B4DGN4
G3V5R2	Q59H46
A0A494C034	Q7Z4E2
G3V5R2	Q59H50
B4DI38	Q8WVW5
A0A1V1FGH9	Q04917
E9PI99	K9JA49
A8K651	Q16695
P14784	Q16610
A0A0S2Z4Q4	Q59EM9
P22087	Q9BZE4
B3KQV6	Q13041
Q13547	Q86UQ8
P24941	Q96Q40
Q92934	Q9P1W9
Q58FF3	U3KPZ0
P43686	Q6ZP56
P23246	Q06187
O14522	P40763
P49761	P78362
B4DJX9	Q86Y82
A0A2R8YDQ0	A0AVG3
P08151	P11802
P62937	Q96SB4
P98171	Q9Y6N7
A0A142I7X2	Q96LM8
P62753	Q15418
B3KQV6	Q13200
P62753	Q15349
B3KQV6	Q13362
