J3KQE5	Q6PKD4
E7EQY4	Q16576
E7EPA1	Q6ZTP6
A0A1W2PQE7	Q9UJZ2
A0A1W2PQE7	Q9UJZ6
A0A1W2PQE7	Q9UJZ7
A0A1W2PQE7	Q9UJZ8
O14908	P61764
A0A0B4J207	C9JUN4
B7ZAP6	E9PK25
H0YCR5	Q9BZG8
A0A1W2PQE7	Q9UK20
B7Z4B6	Q9NST9
A0A1W2PQE7	Q9UJU1
P0CG48	Q5JVF3
B2R6N0	B4DPM7
B1AH78	B1AKS5
O14974	Q4LE39
B7Z4B6	Q9NW91
P43629	Q6H3X3
B2R6N0	B4DV84
P0CG48	Q5JPI3
B4E092	P33991
B4E092	P33992
B4E092	P33993
Q96SB4	Q99590
Q14566	Q9NXL9-4
P0CG48	Q5JRA6
B4DEC2	B4DHJ3
H7C4G5	Q9Y230
Q06265	Q9NRX1
H7C4G5	Q9Y265
B4DEC2	B4DH29
B4DND6	Q59GH5
Q15173	Q9BZS1
B4DND6	Q59G89
P59991	P60370
P59991	P60410
P00491	Q9Y4K3
P55851	Q9NZF1
B2R6N0	B4DJ66
H0YCR5	Q9BQC3
Q00610	Q92673
B4DND6	Q59EL2
B3KNZ4	J9R021
B7ZAP6	E9PS23
B2R6N0	B4DHR8
O14788	Q13503
O14788	Q13546
P60321	Q9UIV1
P58340	Q86UP8
O43143	Q14498
B7ZAP6	E9PP50
A0A0B4J207	C9JKT9
P23246	Q07955
A0A0B4J207	C9JJS3
E9PD24	Q04917
Q15562	Q9BWG4
B7ZAP6	E9PQB7
I3L3S0	J3KP27
A0A024RAE6	B4E2M0
Q15562	Q9BWW4
B2RE64	X5D7S1
B2R6N0	B4DND6
K7EIT4	P61981
B2R6N0	B4DN01
B2R6N0	B4DMT5
Q04206	Q15853
O14788	Q13158
O75083	P23528
B4E335	Q9Y281
A0A087X1E4	Q8NDH6
Q04206	Q15650
Q04206	Q15672
Q9BQE4	Q9UKV5
A0A0B4J207	C9K0K7
B4DEC2	B4DR40
E7EW35	P60891
P62942	P68400
O60496	P41240
Q04206	Q15544
A0A0B4J207	C9JNQ3
P01730	P01732
P29350	Q6GTX8
K7EP45	Q59H03
P06748	P46777
G3V4P7	H0YJ08
B3KY61	H0YJH9
G3V4P7	H0YJ47
Q04206	Q15326
P12004	Q00987
Q15468	Q9HC77
G3V4P7	H0YK94
G3V4P7	H0YK95
Q04206	Q15022
G3V4P7	H0YL95
Q0ZAJ2	Q6LAI4
P05412	P15498
G3V4P7	H0YDE9
O60341	Q9H147
P23786	Q96RU7
P17987	Q2TU64
P04155	P21802
G3V4P7	H0YEG0
O15160	Q7Z3R8
P23396	Q71UM5
Q59FC6	Q5CAQ4
Q59FC6	Q5CAQ5
Q5VVX9	Q9UBS8
P05412	P15172
B7ZLB1	H7C3C7
O00408	P0CG48
A8K6A2	O75530
O60313	P56945
A1L3X0	P27544
Q14919	Q86YP4
Q13277	Q99747
Q13043	Q6ZTQ3
P24941	Q96KB5
B4DE70	P61266
B2R6N0	B4DXI8
O43524	Q9Y5Z7
O75629	Q08999
Q16543	Q58FF2
Q16543	Q58FF3
Q16543	Q58FF4
Q16543	Q58FF6
Q16543	Q58FF7
Q16543	Q58FF8
Q16543	Q58FF9
Q16543	Q58FG0
Q16543	Q58FG1
E7EM64	Q9Y6E3
Q59GS3	Q6MZI6
B5BU24	E7EVZ2
B5BU24	E7EX29
B7Z2Z8	E7ERF2
B4DE70	P61764
B7Z2Z8	E7EQR6
Q6PJ43	Q9Y281
P14784	Q16610
A0A0S2Z4Q4	Q59EM9
P22087	Q9BZE4
Q495M9	Q9Y6N9
P41002	P51955
Q99457	Q9UJ04
B5BU24	E7ESK7
P23246	Q06187
O14522	P40763
O14640	Q86TH3
O95835	P06493
B4DJX9	Q86Y82
P21333	P27986
P62937	Q96SB4
