Q9NXB0	MKS1
Q9UKT9	IKZF3
Q9UKT8	FBXW2
P28566	HTR1E
P54852	EMP3
Q9UKT7	FBXL3
Q9UKT6	FBXL21
P28562	DUSP1
Q9NXB9	ELOVL2
P15248	IL9
P54855	UGT2B15
Q6YHU6	THADA
Q8WXC3	PYDC1
Q86XE3	MICU3
P40200	CD96
Q86XE0	SNX32
P16581	SELE
Q9UL62	TRPC5
Q9UKU0	ACSL6
Q496F6	CD300E
P30874	SSTR2
Q8WXB1	METTL21A
Q9UL68	MYT1L
P30876	POLR2B
Q9NXC5	MIOS
P52209	PGD
P53539	FOSB
P54868	HMGCS2
Q8WXB4	ZNF606
P15259	PGAM2
P30872	SSTR1
Q05BX2	MEF2D
Q05C92	TBXA2R
P42858	HTT
Q96QZ7	MAGI1
P39210	MPV17
Q8WXA9	SREK1
P15260	IFNGR1
P16591	FER
Q9UKV3	ACIN1
Q5JC46	Transformation-related protein 1 {ECO:0000313|EMBL:AAO13594.1}
Q9UKV0	HDAC9
Q86XD5	FAM131B
Q9UKV5	AMFR
Q05BX4	PSMD1
Q9NXD2	MTMR10
A4D1P6	WDR91
Q9UKV8	AGO2
A0A191TDH3	MYL2
A4D210	EIF3S9
Q8WXA8	HTR3C
Q6YI46	TMEM64
Q9Y6A1	POMT1
Q05C82	MARCKS
B3KY12	cDNA FLJ46581 fis, clone THYMU3043200, highly similar to Splicing factor 3A subunit 3 {ECO:0000313|E
Q9UKW4	VAV3
Q9Y6A9	SPCS1
A8MVU1	NCF1C
Q9Y6A5	TACC3
Q9Y6A4	CFAP20
Q9UKW6	ELF5
Q496H8	NRN1L
P54886	ALDH18A1
Q9NXE8	CWC25
Q5BKZ1	ZNF326
Q5BKZ2	KPNA1
Q13705	ACVR2B
Q9Y6B2	EID1
Q05BV1	SMC2
Q9UKX5	ITGA11
Q05BV8	TOPBP1
Q9UKX3	MYH13
Q9UKX2	MYH2
Q9Y6B6	SAR1B
Q9NXF1	TEX10
Q9Y6B5	PAK2 {ECO:0000313|EMBL:AAD40374.1}
Q9UKX7	NUP50
P42830	CXCL5
Q9Y6B7	AP4B1
Q96RA2	OR7D2
Q9UL15	BAG5
Q8WXG6	MADD
Q9UKP4	ADAMTS7
Q9UKP3	ITGB1BP2
Q9UL19	RARRES3
Q9Y5Y6	ST14
Q8WXG1	RSAD2
Q9UL18	AGO1
E7EN38	RAD50
Q9Y5Y5	PEX16
Q9UL17	TBX21
Q9Y5Y7	LYVE1
Q9UKP6	UTS2R
Q8WXG9	GPR98
Q86XI6	PPP1R3B
Q86XI2	NCAPG2
P54819	AK2
S4R3E5	KPNA6
Q05BU7	WASF2
P15291	B4GALT1
Q9UKQ2	ADAM28
Q9Y5Z0	BACE2
Q9UL26	RAB22A
Q9UL25	RAB21
Q8WXF3	RLN3
Q9Y5Z7	HCFC2
Q8WXF0	SRSF12
Q13724	MOGS
Q8WXF1	PSPC1
Q9UKQ9	KLK9
P54826	GAS1
Q8WXF8	DEDD2
P54821	PRRX1
Q8WXF7	ATL1
A6NDH6	OR5H15
P42898	MTHFR
Q9BUB5	MKNK1
P54829	PTPN5
A0A0D9SEH5	STXBP1
P42892	ECE1
Q9UL33	TRAPPC2L
P40238	MPL
Q9UKR3	KLK13
P41567	EIF1
Q496J9	SV2C
Q9UKR0	KLK12
Q8WXE1	ATRIP
Q9UKR5	ERG28
A8MW99	MEI4
Q13733	ATP1A4
Q8WXE9	STON2
Q9BUA6	MYL10
P40222	TXLNA
Q9BUA0	IFNAR2
Q9UL40	ZNF346
P40227	CCT6A
P40225	THPO
Q9UL42	PNMA2
Q05BS0	EIF3A
Q8WXD2	SCG3
Q9UKS7	IKZF2
Q9UL46	PSME2
P54840	GYS2
Q8WXD0	RXFP2
Q9UKS6	PACSIN3
Q9UL45	BLOC1S6
Q13740	ALCAM
F6SFB5	AP1S2
Q9UL49	TCFL5
Q6LBS5	Dystrophin-related protein (490 AA) {ECO:0000313|EMBL:CAA33515.1}
Q9NXA8	SIRT5
Q13748	TUBA3C
P54845	NRL
Q8WXD5	GEMIN6
P15289	ARSA
Q9UL51	HCN2
A8MW95	BECN2
Q05C32	PTGER1
Q9UKT5	FBXO4
Q9UKT4	FBXO5
Q9UL54	TAOK2
Q8J025	APCDD1
Q9BTV7	CABLES2
Q9UKL0	RCOR1
Q9Y5U5	TNFRSF18
Q9BTV6	DPH7
Q9Y5U8	MPC1
S4R3Q6	VPS26A
Q9Y662	HS3ST3B1
Q9UKL4	GJD2
Q9Y5U4	INSIG2
Q9UKL3	CASP8AP2
Q9Y664	KPTN
Q9Y663	HS3ST3A1
Q9UKL2	OR52A1
Q8WWZ1	IL1F10
Q9UKL6	PCTP
Q9Y5U9	IER3IP1
Q96R45	OR2A7
Q96R47	OR2A14
Q8WWY6	MBD3L1
Q5XKR4	OTP
F1C4A7	CD14
Q96QS3	ARX
Q8WWY3	PRPF31
P29803	PDHA2
Q96R48	OR2A5
Q9BTU6	PI4K2A
Q9Y676	MRPS18B
Q9BU64	CENPO
Q9Y679	AUP1
Q9Y678	COPG1
Q86WZ6	ZNF227
Q9Y5V3	MAGED1
Q9Y673	ALG5
Q9Y672	ALG6
Q9Y675	SNURF
Q9UKM9	RALY
Q9NWZ3	IRAK4
Q9UKM7	MAN1B1
Q9NWZ5	UCKL1
Q9BU61	NDUFAF3
Q9NWZ8	GEMIN8
Q99996	AKAP9
Q96R30	OR2V2
Q8WX93	PALLD
Q8WX94	NLRP7
Q6R2W3	ZBED9
B3KXG0	cDNA FLJ45349 fis, clone BRHIP3011460, highly similar to Homo sapiens Src homology 3 domain-containi
Q8WX92	NELFB
Q96QR1	SCGB3A1
Q9Y680	FKBP7
Q96QR8	PURB
A6NDL8	OR6C68
Q9Y5W8	SNX13
Q9BTT4	MED10
Q6GTX8	LAIR1
Q9UKN1	MUC12
Q9UKN7	MYO15A
Q9Y5W3	KLF2
Q9UKN5	PRDM4
Q9Y5W5	WIF1
Q6YHK3	CD109
Q9BTT6	LRRC1
Q8WWX0	ASB5
Q99990	VGLL1
Q9UKN8	GTF3C4
Q9BTT0	ANP32E
Q99986	VRK1
Q99985	SEMA3C
Q99983	OMD
Q8WWW0	RASSF5
Q9Y691	KCNMB2
Q9Y5X1	SNX9
Q9Y5X3	SNX5
Q5XKP0	MIC13
Q9Y692	GMEB1
Q9Y5X2	SNX8
Q96R27	OR2M4
Q99988	GDF15
Q8WWW8	GAB3
Q96R28	OR2M2
Q9Y5X9	LIPG
Q9Y698	CACNG2
Q9UL03	INTS6
Q86X95	CIR1
Q9UL01	DSE
Q9Y5X5	NPFFR2
Q86WX3	RPS19BP1
Q9Y5X4	NR2E3
Q9Y697	NFS1
P37231-3	PPARG
Q9BU40	CHRDL1
Q8WWV6	FCAMR
Q99973	TEP1
P17812	CTPS1
P17813	ENG
Q00403	GTF2B
Q99972	MYOC
Q9Y5Y2	NUBP2
Q9Y5Y4	PTGDR2
Q9Y5Y3	GPR45
Q9Y5Y0	FLVCR1
Q9Y624	F11R
B3KXB6	cDNA FLJ45101 fis, clone BRAWH3032298, highly similar to Tenascin-N {ECO:0000313|EMBL:BAG54428.1}
Q9Y623	MYH4
Q9Y5Q3	MAFB
Q9Y620	RAD54B
Q9Y5Q9	GTF3C3
Q9Y5Q6	INSL5
Q9Y625	GPC6
Q9Y5Q5	CORIN
Q9Y5Q8	GTF3C5
Q9NX62	IMPAD1
Q9NX63	CHCHD3
Q9NWU5	MRPL22
Q9NX65	ZSCAN32
Q96R84	OR1F2P
Q01726	MC1R
Q86XA0	METTL23
Q9Y5R2	MMP24
Q9Y5R5	DMRT2
Q9UKI2	CDC42EP3
Q4KKW2	PPYR1
Q9BTY2	FUCA2
Q9NX70	MED29
Q9UKI3	VPREB3
A0A0D9SEP9	STXBP1
Q9UKI9	POU2F3
Q9Y5R6	DMRT1
Q9Y639	NPTN
Q9UKI8	TLK1
Q9Y5R8	TRAPPC1
